Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR14530889,SAMN19168003,HTP_11_24_2020_INF_unenriched,HTP_11_24_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11045877,2231267154,202,633,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530889/SRR14530889.lite.1
SRR14530890,SAMN19168002,HTP_11_17_2020_INF_unenriched,HTP_11_17_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,16394657,3311720714,202,942,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530890/SRR14530890.lite.1
SRR14530891,SAMN19168001,HTP_01_03_2021_INF_unenriched,HTP_01_03_2021_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,9626457,1944544314,202,574,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530891/SRR14530891.lite.1
SRR14530888,SAMN19168004,HTP_11_3_2020_INF_unenriched,HTP_11_3_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11534523,2329973646,202,663,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530888/SRR14530888.lite.1
SRR14530887,SAMN19168005,HTP_12_01_2020_INF_unenriched,HTP_12_01_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11912829,2406391458,202,688,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530887/SRR14530887.lite.1
SRR14530886,SAMN19168006,HTP_12_04_2020_INF_unenriched,HTP_12_04_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,10874604,2196670008,202,622,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530886/SRR14530886.lite.1
SRR14530885,SAMN19168007,HTP_12_15_2020_INF_unenriched,HTP_12_15_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11960233,2415967066,202,689,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530885/SRR14530885.lite.1
SRR14530884,SAMN19168008,HTP_12_22_2020_INF_unenriched,HTP_12_22_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,8861526,1790028252,202,514,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530884/SRR14530884.lite.1
SRR14530882,SAMN19168009,HTP_12_29_2020_INF_unenriched,HTP_12_29_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11504066,2323821332,202,764,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530882/SRR14530882.lite.1
SRR14530881,SAMN19168010,HTP_9_22_2020_INF_unenriched,HTP_9_22_2020_INF_unenriched,RNA-Seq,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12904150,2606638300,202,747,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530881/SRR14530881.lite.1
